OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
Lebanon Valley College,D,1,1,1,L,0,10,-48,UPFIELD,,21,F JUMP,SLOT,L,,QUEEN,21,Pass,,SOP,,R,,SMASH,,Complete,,X,1,SOLO,SPRINT,OVER,,BLAST,9,,
Lebanon Valley College,D,2,1,1,R,2,1,43,UPFIELD,,21,,PRO TO,L,,WEAK,22,Run,,Q ISO,,R,,,,,A,Q,,7,,OVER,DRIVE,,43,TD,
Lebanon Valley College,D,3,1,2,L,0,10,-34,UPFIELD,,21,,PRO TO,R,,STRONG,22,Run,,Q SPRINT DRAW,,R,,,,,B,Q,,7,,OVER,DRIVE,,1,,
Lebanon Valley College,D,4,1,2,M,2,9,-35,UPFIELD,,21,F JUMP,SLOT,R,,TRUCK,21,Run,,ISO,,R,,,,,B,T,,SOLO,,OVER,,SHELL,0,,
Lebanon Valley College,D,5,1,2,R,3,9,-35,UPFIELD,,11,,WOLF,R,,WEAK,22,Pass,,5 STEP,,,,STICKS,,Incomplete,,Y,5,SOLO,6A3B,OVER,,RAM,1,,
Lebanon Valley College,D,6,1,3,R,0,10,-36,UPFIELD,,12,,ACE CUT,R,,WEAK,22,Pass,,3 STEP,,,,SPEED,,Complete,,X,1,7,60 DIVE,OVER,,,5,,
Lebanon Valley College,D,7,1,3,L,2,5,-41,UPFIELD,,12,,ACE CUT,L,,WEAK,22,Run,,COUNTER TREY,,L,,,,,A,T,,7,,OVER,DRIVE,,6,,
Lebanon Valley College,D,8,1,3,L,1,10,-47,UPFIELD,,21,DUMMY,PRO TO,R,,STRONG,22,Run,,Q OZ,,R,,,,,E-Alley,Q,,7,,OVER,DRIVE,,1,,
Lebanon Valley College,D,9,1,3,R,2,9,-48,UPFIELD,,21,F JUMP,PRO CUT UNDER,L,,KING,21,Pass,,BOOT,,R,,,,Incomplete,,Y,6,7,BOOT,OVER,CRASH,,0,,
Lebanon Valley College,D,10,1,3,R,3,9,-48,UPFIELD,,12,,ACE CUT,R,,WEAK,22,Pass,,5 STEP,,,,VERTS,,Incomplete,,Z,9,VISE,6A3B,OVER,,,0,PUNT,
Lebanon Valley College,D,11,2,4,L,0,10,38,GREEN ZONE,,21,F JUMP,SLOT UNDER,L,,KING,21,Run,,OZ,,L,,,,,C,T,,7,,OVER,,,-2,,
Lebanon Valley College,D,12,2,4,L,2,12,40,UPFIELD,,21,F JUMP,PRO,R,,TRUCK,21,Run,,COUNTER,,L,,,,,A,T,,7,,OVER,DRIVE,,9,,
Lebanon Valley College,D,13,2,4,L,3,3,31,GREEN ZONE,,11,JAC,TOM,R,,STRONG,41,Run,,COUNTER TREY,,L,,,,,A,T,,SOLO,,OVER,,SHELL,6,,
Lebanon Valley College,D,14,2,4,L,1,10,25,RED ZONE,,11,J MESH,PRO CUT,R,,WAGON,21,Pass,,BOOT,CTR TREY,L,,WAGGLE,,Complete,,Y,3,7,BOOT,OVER,DRIVE,,6,,
Lebanon Valley College,D,15,2,4,L,2,4,19,RED ZONE,,21,F JUMP,PRO UNDER,R,,KING,21,Pass,,PAP,,R,,CHOICE,CURL,Sack,,Q,,MATCH,,OVER,,SMOKE,-8,,
Lebanon Valley College,D,17,2,4,M,3,17,32,GREEN ZONE,,11,,WOLF,R,,WEAK,22,Pass,,5 STEP,,,,SHILO,,Complete,,J,2,7,6A3B,OVER,,,12,,
Lebanon Valley College,D,18,2,4,R,4,5,20,RED ZONE,,11,JAC,TOM,L,,STRONG,41,Pass,,SOP,,L,,SMASH,,Penalty,,J,7,SOLO,SPRINT,OVER,,SHELL,15,,
Lebanon Valley College,D,19,2,4,L,1,5,5,RED ZONE,,21,,PRO CUT UNDER,R,,KING,21,Pass,,SOP,,R,,CURL,,Incomplete,,Y,1,1,SPRINT,OVER,,SMOKE,0,,
Lebanon Valley College,D,20,2,4,L,2,5,5,RED ZONE,,22,HOP,UNB BOX TO UNDER,R,,I,12,Run,,OZ,,L,,,,,D,T,,,,CUB,,,1,,
Lebanon Valley College,D,21,2,4,L,3,4,4,GOALLINE,,22,,BOX TY UNDER,R,YES,I,12,Pass,,SOP,,R,,STIX,,Incomplete,,X,4,,SPRINT,CUB,,,0,FG,
Lebanon Valley College,D,22,2,5,L,0,10,32,GREEN ZONE,,11,Z MESH,SLOT,L,,SPLIT,21,Run,,SPEED LEAD,,R,,,,,E-Alley,Z,,7,,OVER,,,9,,
Lebanon Valley College,D,23,2,5,R,2,1,23,GREEN ZONE,,11,JAC,WOLF SIB,L,,STRONG,22,Run,,BUSTED PLAY,,,,,,,,,,SOLO,,OVER,,RAM,-10,,
Lebanon Valley College,D,24,2,5,L,2,11,33,GREEN ZONE,,11,ZAC,TREY,L,,STRONG,32,Run,SCR,IZ,,R,BUB,,,Incomplete,,Z,,SOLO,,OVER,,SHELL,0,,
Lebanon Valley College,D,25,2,5,L,3,11,33,GREEN ZONE,,11,,TOM,R,,STRONG,41,Run,,COUNTER TREY,,L,,,,,C,T,,SOLO,,OVER,,RAM,1,,
Lebanon Valley College,D,26,2,6,L,0,10,-25,UPFIELD,,21,F JUMP,PRO,R,,TRUCK,21,Run,,ISO,,R,,,,,B,T,,7,,OVER,DRIVE,,13,,
Lebanon Valley College,D,27,2,6,L,1,10,-38,UPFIELD,,21,F JUMP,PRO UNDER,R,,KING,21,Run,,ISO,,R,,,,,A,T,,7,,OVER,,,8,,
Lebanon Valley College,D,28,2,6,L,2,2,-46,UPFIELD,,21,F JUMP,PRO,R,,TRUCK,21,Run,,COUNTER,,L,,,,,A,Q,,SOLO,,OVER,,SHELL,1,,
Lebanon Valley College,D,29,2,6,L,3,1,-47,UPFIELD,,22,,BOX UNDER,L,,I,21,Run,,Q SNEAK,,L,,,,,A,Q,,,,CUB,,,2,,
Lebanon Valley College,D,30,2,6,L,1,10,-49,UPFIELD,,21,,PRO TO,R,,STR,22,Run,,Q ISO,,R,,,,,A,Q,,7,,OVER,,,6,,
Lebanon Valley College,D,31,2,6,L,2,4,45,UPFIELD,,11,ZAC,TREY,L,,STR,32,Run,SCR,IZ,,R,BUB,,,Incomplete,,Z,,SOLO,,OVER,,SHELL,0,,
Lebanon Valley College,D,32,2,6,M,3,4,45,UPFIELD,,11,JAC,WOLF SIB,R,,WEAK,23,Pass,,3 STEP,,,,SPEED,,Incomplete,,X,3,VISE,6A3F,OVER,,,0,,
Lebanon Valley College,D,33,3,7,R,0,10,-34,UPFIELD,,21,F JUMP,PRO,R,YES,TRUCK,12,Run,,ISO,,R,,,,,B,T,,MATCH,,OVER,,SMOKE,1,,
Lebanon Valley College,D,34,3,7,R,2,9,-35,UPFIELD,,21,F JUMP,SLOT,R,,QUEEN,21,Pass,,SOP,,L,,INV SMASH,,Complete,,Z,7,7,SPRINT,OVER,DRIVE,,66,TD,
Lebanon Valley College,D,35,3,8,R,0,10,-20,UPFIELD,,21,F JUMO,SLOT UNDER,R,,KING,21,Run,,ISO,,R,,,,,A,T,,SOLO,,OVER,,BLAST,2,,
Lebanon Valley College,D,36,3,8,R,2,8,-22,UPFIELD,,11,,TOM,L,,STRONG,41,Run,,COUNTER TREY,,R,,,,,B,T,,SOLO,,OVER,,RAM,2,,
Lebanon Valley College,D,37,3,8,R,3,6,-24,UPFIELD,,11,Z MESH,SLOT CUT,R,,SPLIT,21,Pass,,BOOT,,R,,WAGGLE,,Complete,,Y,3,SOLO,BOOT,OVER,,SHELL,6,,
Lebanon Valley College,D,38,3,8,R,1,10,-30,UPFIELD,,22,,BOX UNDER,R,,I,21,Run,,ISO,,L,,,,,A,T,,7,,OVER,DRIVE,,1,,
Lebanon Valley College,D,39,3,8,R,2,9,-31,UPFIELD,,21,F JUMP,PRO,L,,KING,21,Pass,,SOP,,L,,CURL,,Incomplete,,,4,MATCH,SPRINT,OVER,,SMOKE,0,,
Lebanon Valley College,D,40,3,8,R,3,9,-31,UPFIELD,,20,J MESH,PRO OFF,R,YES,SPLIT,12,Run,,Q POWER READ,,R,,,,,B,Q,,VISE,,OVER,,,15,,
Lebanon Valley College,D,41,3,9,R,0,10,-46,UPFIELD,,12,,ACE,R,,WEAK,22,Pass,,5 STEP,,,,SHILO,,Incomplete,,Z,8,7,6A3B,OVER,,,0,,
Lebanon Valley College,D,42,3,9,R,2,10,-46,UPFIELD,,12,,ACE,R,,WEAK,22,Pass,,SOP,,L,,CURL,,Complete,,H,1,SOLO,SPRINT,OVER,,BLAST,5,,
Lebanon Valley College,D,43,3,9,L,3,5,49,UPFIELD,,20,,FOX,R,,SPLIT,21,Pass,,SOP,,R,,INV SMASH,,Complete,,J,1,SOLO,SPRINT,OVER,,RAM,5,,
Lebanon Valley College,D,44,3,9,R,1,10,44,UPFIELD,,20,,FOX,L,,SPLIT,21,Run,,Q POWER READ,,L,,,,,C,T,,7,,OVER,DRIVE,,10,,
Lebanon Valley College,D,45,3,9,L,1,10,34,GREEN ZONE,,21,F JUMP,PRO,R,,TRUCK,21,Run,,COUNTER,,L,,,,,A,T,,MATCH,,OVER,,SMOKE,1,,
Lebanon Valley College,D,46,3,9,L,2,9,33,GREEN ZONE,,20,JAC,FOX,R,,SPLIT,21,Pass,,SOP,,R,,STIX,,Complete,,Z,4,7,SPRINT,OVER,DRIVE,,11,,
Lebanon Valley College,D,47,3,9,R,1,10,22,RED ZONE,,11,JAC,TOM,L,,STRONG,41,Run,,COUNTER TREY,,R,,,,,A,Q,,SOLO,,OVER,,SHELL,-2,,
Lebanon Valley College,D,48,3,9,R,2,12,24,RED ZONE,,11,J MESH,PRO,R,YES,SPLIT,12,Run,,Q POWER READ,,R,,,,,C,Q,,SOLO,,OVER,,RAM,14,,
Lebanon Valley College,D,49,3,9,R,1,10,10,RED ZONE,,11,,TOM,L,,STRONG,41,Pass,,SOP,,L,,CURL,,Sack,,Q,,MATCH,SPRINT,OVER,,SMOKE,-9,,
Lebanon Valley College,D,50,3,9,L,2,19,19,RED ZONE,,11,,WOLF OFF,L,,STRONG,23,Pass,,5 STEP,,,,SHILO,,Complete,,X,8,SOLO,6A1F,OVER,,BLAST,19,,
Lebanon Valley College,D,51,4,10,L,0,10,-40,UPFIELD,,11,,TEX,L,,WEAK,41,Run,,SPRINT DRAW,,L,,,,,B,T,,SOLO,,OVER,,SHELL,3,,
Lebanon Valley College,D,52,4,10,M,2,7,-43,UPFIELD,,12,,ACE,L,,STRONG,23,Pass,,3 STEP,,,,SLIDE,,Incomplete,,X,7,SOLO,60 DIVE,OVER,,SHELL,0,,
Lebanon Valley College,D,53,4,10,M,3,7,-43,UPFIELD,,20,JAC,FOX,L,YES,SPLIT,12,Pass,,SOP,,L,,CURL,,Complete,,J,3,SOLO,SPRINT,OVER,,BLAST,12,,
Lebanon Valley College,D,54,4,9,L,4,1,-49,UPFIELD,,22,,BOX UNDER,R,YES,I,12,Run,,ISO,,L,,,,,A,T,,,,CUB,,,4,,
Lebanon Valley College,D,55,4,9,L,1,10,47,UPFIELD,,11,,TOM,R,,STRONG,41,Pass,,SOP,,R,,SMASH,,Sack,,,,SOLO,SPRINT,OVER,,SHELL,-6,,
Lebanon Valley College,D,56,4,9,M,2,16,-47,UPFIELD,,11,JAC,WOLF SIB,L,,STRONG,22,Pass,,5 STEP,,,,VERTS,,Incomplete,,X,9,7,6A2F,OVER,DRIVE,,0,,
Lebanon Valley College,D,57,4,9,M,3,16,-47,UPFIELD,,11,,WOLF,R,,WEAK,22,Pass,,5 STEP,,,,SHILO,,Incomplete,,Z,8,7,6A3B,OVER,,,0,PUNT,
Lebanon Valley College,D,58,4,10,M,0,10,-19,BACKED UP,,11,,SLOT UNDER,L,,QUEEN,21,Pass,,SOP,,R,,CURL,,Complete,,Z,1,MATCH,SPRINT,OVER,,SMOKE,12,,
Lebanon Valley College,D,59,4,10,R,1,10,-31,UPFIELD,,22,HOP,BOX TO UNDER,R,,I,21,Pass,,3 STEP,,,,SLANT,,Incomplete,,X,2,,90 DIVE,CUB,,,0,,
Lebanon Valley College,D,60,4,10,R,2,10,-31,UPFIELD,,22,HOP,BOX TO UNDER,R,,I,21,Run,,ISO,,R,,,,,A,T,,,,CUB,,,5,,
Lebanon Valley College,D,61,4,10,M,3,5,-36,UPFIELD,,22,HOP,UND BOX TO UNDER,L,,I,21,Run,,ISO,,L,,,,,A,T,,,,CUB,,,4,PUNT,
Lebanon Valley College,D,62,4,12,L,0,10,45,UPFIELD,4M,22,HOP,UNB BOX TO UNDER,R,,I,21,Run,,ISO,,L,,,,,C,T,,MATCH,,OVER,,SMOKE,8,,
Lebanon Valley College,D,63,4,12,L,2,2,37,GREEN ZONE,4M,22,HOP,BOX TO UNDER,L,,I,21,Run,,DOWN,,L,,,,,A,T,,,,CUB,,,0,,
Albright College,D,2,1,1,R,0,10,30,GREEN ZONE,,20,J OUT,TRIPS,L,,WEAK,32,Run,,Q DRAW,,R,,,,,A,Q,,7,,OVER,UNO,,8,,
Albright College,D,3,1,1,R,2,2,22,GREEN ZONE,,21,YOP,WOLF OFF,R,,WEAK,22,Pass,,BOOT,,R,,WAGGLE,,Complete,,J,6,HEAT,BOOT,OVER,,SHELL,6,,
Albright College,D,4,1,1,R,1,10,16,RED ZONE,,21,B JUMP,SLOT,R,,KING,21,Run,SCR,IZ,LOCK,R,B FLAT,,,Complete,,B,,7,,OVER,DRIVE,,-1,,
Albright College,D,5,1,1,L,2,11,17,RED ZONE,,21,,TREY,L,,WEAK,41,Run,,IZ,LOCK,L,,,,,A,T,,HEAT,,OVER,DOS,SHELL,0,,
Albright College,D,6,1,1,L,3,11,17,RED ZONE,,21,BAC,WOLF CON,L,,WEAK,22,Run,RPO,PUNCH,,L,,HAMMER,,,A,T,,7,,OVER,,,8,,
Albright College,D,7,1,1,L,4,3,9,RED ZONE,,21,BAC,TREY,L,,WEAK,41,Run,,Q POWER READ,,L,,,,,C,T,,MATCH,,OVER,,SMOKE,6,,
Albright College,D,8,1,1,L,1,3,3,RED ZONE,,21,,TREY,L,,WEAK,41,Run,,IZ,LOCK,L,BUB,,,,A,T,,MATCH,,OVER,,SMOKE,2,,
Albright College,D,9,1,1,L,2,1,1,RED ZONE,,21,BAC,TREY CUT,L,,STRONG,32,Run,,Q OZ,,L,,,,,C,Q,,TORO,,OVER,,,0,,
Albright College,D,10,1,1,L,3,1,1,RED ZONE,,21,,TREY,L,,WEAK,41,Run,,IZ,LOCK,L,BUB,,,,B,T,,MATCH,,OVER,,SMOKE,2,TD,
Albright College,D,21,1,2,L,0,10,-15,BACKED UP,,20,,TRIPS,R,,STRONG,41,Run,RPO,IZ,LOCK,L,,DUMP,,,A,T,,7,,OVER,UNO,,3,,
Albright College,D,22,1,2,L,2,3,-22,UPFIELD,,20,,TRIPS,R,,STRONG,41,Run,RPO,IZ,LOCK,L,,DUMP,,,A,T,,SOLO,,OVER,,CHOICE,2,,
Albright College,D,24,1,2,L,3,1,-24,UPFIELD,,12,,TREY,L,,WEAK,41,Run,RPO,IZ,LOCK,L,BUB,,,,B,T,,HEAT,,OVER,,SHELL,4,,
Albright College,D,25,1,2,L,1,10,-28,UPFIELD,,21,BAC,TREY CUT,L,,WEAK,41,Run,RPO,IZ,,L,BUB,,,,A,T,,7,,OVER,DRIVE,,7,,
Albright College,D,26,1,2,L,2,7,-31,UPFIELD,,21,B HIP,TREY HIP,L,,WEAK,41,Run,,OZ,TOSS,R,,,,,E-Alley,T,,HEAT,,OVER,,BLAST,3,,
Albright College,D,27,1,2,R,1,10,-38,UPFIELD,,21,,TREY,R,,STRONG,32,Run,,Q OZ,,R,BUB,,,,D,Q,,7,,OVER,,,4,,
Albright College,D,28,1,2,R,2,7,-41,UPFIELD,,21,J OUT,TREY,R,,STRONG,32,Run,,IZ,,L,BUB,,,,C,T,,HEAT,,OVER,,SHELL,0,,
Albright College,D,29,1,2,R,3,3,-45,UPFIELD,,20,,TRIPS,L,,WEAK,32,Run,SCR,Q DRAW,,R,BUB,,,Complete,,B,,HEAT,,OVER,,SHELL,-3,PUNT,
Albright College,D,35,2,3,L,0,10,-39,UPFIELD,,21,,TREY,L,,WEAK,41,Pass,,5 STEP,,,,BUB N GO,GO,Scramble,,T,3,7,6T2F,OVER,DRIVE,,17,,
Albright College,D,36,2,3,L,1,10,44,UPFIELD,,21,,TREY,L,,WEAK,41,Run,RPO,IZ,LOCK,L,,DUMP,,,C,T,,HEAT,,OVER,,BLAST,3,,
Albright College,D,37,2,3,L,2,7,41,UPFIELD,,21,,DOUBLES,R,,STRONG,22,Run,RPO,IZ,LOCK,L,,HITCHES,,Incomplete,,X,3,7,,OVER,,,0,,
Albright College,D,38,2,3,L,3,7,41,UPFIELD,,21,,TRIPS,R,,WEAK,32,Run,,Q OZ,,L,,,,,D,Q,,SOLO,,OVER,,CHOICE,5,,
Albright College,D,39,2,3,L,4,2,36,GREEN ZONE,,21F,,PRO OFF,R,,WAGON,21,Pass,,PAP,,R,,GO,SLIDE,Complete,,F,3,HEAT,,OVER,,RAM,10,,
Albright College,D,40,2,3,L,1,10,26,GREEN ZONE,,21,,TREY,L,,WEAK,41,Pass,TRICK,OZ TOSS PASS,,R,,STUTTER AND GO,,Complete,,X,7,7,,OVER,DRIVE,,26,TD,
Albright College,D,50,2,4,R,0,10,-6,BACKED UP,,21,,WOLF,R,,WEAK,22,Run,RPO,PUNCH,,R,,HAMMER,,,B,T,,HEAT,,OVER,,BLAST,3,,
Albright College,D,51,2,4,L,2,7,-9,BACKED UP,,21,,TREY,R,,WEAK,41,Run,SCR,IZ,LOCK,R,BUB,,,Complete,,B,,7,,OVER,DRIVE,,11,,
Albright College,D,52,2,4,L,1,10,-20,UPFIELD,,21,,TREY,L,,STRONG,32,Run,,Q OZ,,L,BUB,,,,C,Q,,HEAT,,OVER,,BLAST,4,,
Albright College,D,53,2,4,L,2,6,-24,UPFIELD,,21,,TREY,L,,WEAK,41,Pass,,5 STEP,,,,BUB AND GO,GO,Interception,,J,8,HEAT,6A3B,OVER,,SHELL,0,INT,
