OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
KEYSTONE,D,6,1,1,L,,1,10,-46,0,,MIDFIELD,,11,,WOLF,LT,,WK,23,Pass,RPO,IZ,,L,,SLANT/HITCH,,Incomplete,,J,5,3,,,,,,3RT,,,,,
KEYSTONE,D,7,1,1,L,,2,10,-46,9,,MIDFIELD,,10,S ACROSS,TRIPS,RT,,STRONG,41,Run,,Q ISO,,R,,,,Rush,B,Q,,,,,,,,,,,,,
KEYSTONE,D,8,1,1,L,,3,1,45,15,,MIDFIELD,,10,,TRIPS,RT,,STRONG,41,Pass,RPO,IZ,,L,BUB,BUBBLE,,Complete,,J,3,3,,,,,,4RG,,,,,
KEYSTONE,D,9,1,1,R,,1,10,30,0,,GREEN ZONE,,11,,TOM OFF,LT,,WK,32,Run,,IZ,BASE,L,,,,Rush,B,T,,,,,,,,,,,,,
KEYSTONE,D,10,1,1,M,,2,6,25,12,,RED ZONE,,11,J ACROSS,TOM,RT,,WK,32,Run,,OZ,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,11,1,1,R,,1,10,18,7,,RED ZONE,,20,,FOX,LT,,PISTOL KING,21,Pass,RPO,ISO,,L,,VT,OUT,Complete,,J,1,3,,,,,,6OC,,,,,
KEYSTONE,D,12,1,1,L,,2,3,11,8,,RED ZONE,,11,,WOLF,RT,,WK,23,Pass,RPO,IZ,,R,,SLANT/HITCH,,Complete,,J,1,2MAN,,,,,,6OC,,,,,
KEYSTONE,D,13,1,1,L,,1,2,3,0,FUMBLE,GOALLINE,,22,,BOX UNDER,RT,,I,21,Run,,ISO,,R,,,,Fumble,D,T,,,,,,,,,,,,,
KEYSTONE,D,20,1,2,M,,1,10,30,0,,GREEN ZONE,,12,,TEX,LT,,STRONG,41,Pass,,BOOT,,R,,CORNER/POST,,Scramble,,Q,,3,BOOT,,,,,,,LB,,,
KEYSTONE,D,21,1,2,L,,1,11,30,0,,GREEN ZONE,,10,,DBLS,RT,,STRONG,22,Pass,,Q COUNTER,READ,L,,ROCKET,,Incomplete,,Z,3,3,50 MAN,,,,,8OC,,,,,
KEYSTONE,D,22,1,2,L,,2,11,30,6,,GREEN ZONE,,1,,EMPTY,,,EMPTY,32,Pass,TRICK,Y SCREEN,,L,ALT,TE SCREEN,,Complete,,Y,2,3,,,,,,9OC,,,,,
KEYSTONE,D,23,1,2,L,,3,3,24,6,,RED ZONE,,10,S ACROSS,TRIPS,RT,,STRONG,32,Run,,Q COUNTER,READ,L,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,24,1,2,L,,1,10,18,9,,RED ZONE,,11,,TOM,RT,,STRONG,41,Run,RPO,IZ,,L,BUB,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,25,1,2,M,,1,9,9,7,,RED ZONE,,31,,BONE,LT,,BONE,11,Run,,G LEAD OPTION,,R,,,,Rush,E-Alley,Q,,,,,,,,,,,,,
KEYSTONE,D,26,1,2,R,,2,2,2,2,TD,GOALLINE,,32,,UNBALANCED MARYLAND I,RT,YES,I,21,Run,,DUO,,R,,,,Rush,D,T,,,,,,,,,,,,,
KEYSTONE,D,34,1,3,R,,1,10,36,0,,GREEN ZONE,,11,,TOM,LT,,WK,32,Pass,,PAP,IZ,L,,VERTS,,Incomplete,,Y,9,3,60TB,,,,,7OC,,,,,
KEYSTONE,D,35,1,3,R,,2,10,36,8,,GREEN ZONE,,1,,EMPTY,LT,,EMPTY,32,Pass,,5 STEP,,R,,MESH,COMEBACK,Complete,,X,6,3,60AB,,,,,8OC,,,,,
KEYSTONE,D,36,1,3,R,,3,2,28,10,,GREEN ZONE,,10,,DBLS,LT,,STRONG,22,Run,,Q ISO,,L,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,37,1,3,R,,1,10,18,14,,RED ZONE,,11,,TOM OFF,LT,,WK,32,Run,,OZ,READ,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,38,1,3,L,,1,3,4,0,,GOALLINE,,21,,SLOT STACKED,LT,,WAGON,21,Pass,RPO,ISO,,R,,ROCKET,,Incomplete,,Z,6,0,,,,,,8RT,,,,,
KEYSTONE,D,39,2,3,L,,2,3,4,3,TD,GOALLINE,,31,,BONE,LT,,BONE,11,Run,,POWER,,L,,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,47,2,4,M,T,1,10,-42,0,,MIDFIELD,,11,,TREY,LT,,STRONG,23,Pass,,PAP,IZ,R,,CHAIR,WHEEL,Incomplete,,Z,8,3,70TB,,,,,5OC,,,,,
KEYSTONE,D,48,2,4,M,,2,10,-42,0,,MIDFIELD,,10,,DBLS STACKED,LT,,WK,32,Pass,,5 STEP,,L,,SLANT,OUT,Incomplete,,J,1,2,61AB,,,,,6OC,,,,,
KEYSTONE,D,49,2,4,R,,3,10,-42,15,,MIDFIELD,,11,Y ACROSS,TOM OFF,RT,YES,WK,32,Pass,,5 STEP,,R,,VERTS,MESH,Complete,,X,3,2MAN,60AB,,,,,8OC,,,,,
KEYSTONE,D,50,2,4,R,,1,10,43,0,,MIDFIELD,,11,,TOM OFF,LT,,WK,32,Run,TRICK,FLEA FLICKER,,R,,VERT,,Incomplete,,X,,,,,,,,,,,,,
KEYSTONE,D,51,2,4,R,,1,20,-46,2,,MIDFIELD,,11,,TOM OFF,LT,,PISTOL,32,Run,RPO,IZ FOLD,,L,,,,Rush,A,T,,,,,,,,,,,,,
KEYSTONE,D,52,2,4,M,,2,8,41,0,,MIDFIELD,,20,,FOX,RT,,PISTOL KING,21,Pass,,PAP,ISO,R,,CHAIR,OUT,Incomplete,,Z,9,2,,,,,,5OC,,,,,
KEYSTONE,D,53,2,4,M,,3,8,41,0,FUMBLE,MIDFIELD,,10,,DBLS,RT,,WK,23,Pass,,5 STEP,,L,,SMASH,CROSS,Sack,,Q,,3,61AF,,,,,,,,,,
KEYSTONE,D,60,2,5,R,,1,10,-5,65,,BACKED UP,,11,,WOLF OFF,LT,,STRONG,32,Run,,IZ LEAD,,R,,,,Rush,B,T,,,,,,,,,,,,,
KEYSTONE,D,61,2,5,L,,1,10,30,16,,GREEN ZONE,,11,,TOM OFF,RT,,WK,32,Run,,OZ,READ,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,63,2,5,R,,1,10,14,13,TD,RED ZONE,,11,,WOLF,RT,,WK,23,Run,,OZ G,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,70,2,6,L,,1,10,45,0,,MIDFIELD,,12,,TEX OFF UND,LT,,I,31,Pass,,PAP,IZ,R,,CROSS,,Incomplete,,Z,9,3,70ABS,,,,,8RG,,,,,
KEYSTONE,D,71,2,6,L,,2,10,45,20,,MIDFIELD,,12,,TEX OFF,LT,,WK,31,Run,RPO,IZ,LEAD,R,,VT,,Rush,B,T,,,,,,,,,,,,,
KEYSTONE,D,72,2,6,R,,1,10,25,6,,RED ZONE,,11,,TOM,LT,,WK,32,Run,,OZ G,,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,73,2,6,L,,2,3,19,18,TD,RED ZONE,,11,,TOM,RT,,WK,32,Run,,OZ G,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,81,2,7,R,,1,10,44,0,,MIDFIELD,,11,,TOM OFF,LT,,WK,41,Pass,,SOP,,L,,SMASH,,Complete,,Z,4,4,REACH,,,,,7LT,,,,,
KEYSTONE,D,82,2,7,R,,2,10,44,0,,MIDFIELD,,11,,TOM OFF CON,LT,,WK,32,Pass,,5 STEP,,L,,CHAIR,WHEEL,Incomplete,,Z,8,1,63AF,,,,,7OC,,,,,
KEYSTONE,D,83,2,7,R,,3,10,44,14,,MIDFIELD,,11,,TOM OFF,LT,,WK,32,Pass,,5 STEP,,R,,COMEBACK,,Complete,,X,6,2MAN,60AB,,,,,8OC,,,,,
KEYSTONE,D,84,2,7,R,,1,10,30,3,,GREEN ZONE,,11,,TOM OFF,LT,,STRONG,41,Pass,,SOP,,L,,COMEBACKS/GO,,Scramble,,Q,,3,REACH,,,,,,,LOOP,,,
KEYSTONE,D,85,2,7,L,,2,6,27,9,,GREEN ZONE,,11,,WOLF,LT,,STRONG,32,Pass,,5 STEP,,L,,MESH,,Complete,,X,4,4,60AF,,,,,8OC,,,,,
KEYSTONE,D,86,2,7,L,,1,10,18,2,,RED ZONE,,11,,TOM,RT,,STRONG,41,Pass,,5 STEP,,R,,MESH,,Scramble,,Q,,1,60AB,,,,,,,RB,,,
KEYSTONE,D,87,2,7,L,,2,8,16,-16,,RED ZONE,,11,,TOM OFF,RT,,WK,32,Pass,,5 STEP,,R,Y FLAT,Y FLAT,,Sack,,Q,,,60AFS,,,,,,,,,,
KEYSTONE,D,88,2,7,M,,3,24,32,0,,GREEN ZONE,,11,,WOLF,LT,,WK,23,Pass,,5 STEP,,L,,CORNER/OUT,,Incomplete,,X,7,2 MAN,70TFS,,,,,8OC,,,,,
KEYSTONE,D,90,2,7,M,,4,29,37,0,DOWNS,GREEN ZONE,,10,,TRIPS,RT,,WK,32,Pass,,5 STEP,,R,,SWITCH VERT,,Incomplete,,J,9,3,60AF,,,,,6RG,,,,,
KEYSTONE,D,95,3,8,M,,1,10,-34,0,,UPFIELD,,11,,TOM OFF,RT,,WK,32,Run,,OZ G,,R,,,,Rush,D,T,,,,,,,,,,,,,
KEYSTONE,D,96,3,8,R,,2,6,-34,4,,UPFIELD,,11,,TOM OFF,LT,,STRONG,41,Run,RPO,IZ,,R,BUB,,,Rush,A,T,,,,,,,,,,,,,
KEYSTONE,D,97,3,8,R,,3,2,-38,14,,MIDFIELD,,10,,TRIPS,LT,,STRONG,41,Run,RPO,IZ,,R,BUB,,,Rush,A,T,,,,,,,,,,,,,
KEYSTONE,D,98,3,8,R,,1,10,48,4,,MIDFIELD,,10,,TRIPS,LT,,WK,32,Run,,OZ G,CRACK,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,99,3,8,L,,2,5,44,41,,MIDFIELD,,11,,TRIPS TIGHT BUNCH,RT,,STRONG,41,Run,,TOSS,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,100,3,8,R,,1,10,37,9,,GREEN ZONE,,10,,EMPTY,LT,,EMPTY,32,Pass,,5 STEP,,R,,COMEBACKS,,Complete,,X,6,1,53F,,,,,6OC,,,,,
KEYSTONE,D,101,3,8,R,,1,10,28,4,,GREEN ZONE,,10,,TREY WIDE BUNCH,RT,,WK,41,Run,RPO,OZ,,R,BUB,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,102,3,8,R,,2,7,24,22,,RED ZONE,,10,,DBLS,LT,,PISTOL,22,Pass,RPO,IZ,,R,,VT,OUT,Incomplete,,X,6,3,,,,,,6OC,,,,,
KEYSTONE,D,103,3,8,R,,3,7,24,-7,,RED ZONE,,11,,TOM OFF,LT,,WK,32,Pass,RPO,OZ G,,L,,DBL POST,,Sack,,,,1,,,,,,,,,,,
KEYSTONE,D,104,3,8,R,,4,7,31,31,TD,GREEN ZONE,,10,,DBLS,LT,,WK,23,Pass,,5 STEP,,L,,SMASH,CROSS,Complete,,X,9,1,60TB,,,,S,8OC,,,,,
KEYSTONE,D,117,3,9,L,T,1,10,-20,5,,UPFIELD,,11,,TOM OFF,RT,,STRONG,41,Run,,Q ISO,,R,,,,Rush,,Q,,,,,,,,,,,,,
KEYSTONE,D,118,3,9,R,,2,6,-25,40,,UPFIELD,,11,,TOM,LT,,WK,32,Run,,OZ,,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,119,3,9,L,,1,10,35,35,TD,MIDFIELD,,11,,WOLF OFF,LT,,WK,23,Pass,,BOOT,,R,,CORNER/POST,,Complete,,X,8,0,BOOT,,,,,6RT,,,,,
KEYSTONE,D,129,3,10,R,T,1,10,-43,26,,MIDFIELD,,11,,WOLF OFF,RT,,WK,23,Run,,OZ G,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,130,3,10,R,,1,10,31,4,,GREEN ZONE,,11,,WOLF OFF,LT,,WK,23,Run,,OZ G,,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,131,4,10,L,,2,7,27,1,,GREEN ZONE,,11,,TOM OFF,RT,,STRONG,41,Pass,,5 STEP,,R,,COMEBACK,,Incomplete,,X,,3,50 MAN,,,,,1LOOP,,,,,
KEYSTONE,D,132,4,10,L,,3,7,26,0,,GREEN ZONE,,10,,TRIPS,RT,,STRONG,41,Pass,,T SLIP SCREEN,,R,,RB SCREEN,,Incomplete,,T,6,3,,,,,,10RT,,,,,
KEYSTONE,D,133,4,10,L,,4,7,26,0,DOWNS,GREEN ZONE,,10,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,R,,MESH,,Complete,,X,5,3,60AB,,,,,8OC,,,,,
KEYSTONE,D,147,4,11,R,T,1,10,-25,2,,UPFIELD,,10,,TRIPS CON,RT,YES,WK,32,Run,,Q COUNTER,,L,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,148,4,11,L,,2,7,-27,6,,UPFIELD,,11,,TOM OFF,RT,,STRONG,41,Run,,IZ,,L,,,,Rush,A,T,,,,,,,,,,,,,
KEYSTONE,D,149,4,11,L,,3,3,-33,10,,UPFIELD,,11,,TOM OFF,RT,,STRONG,41,Run,,Q ISO,,R,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,150,4,11,M,,1,10,-43,6,,MIDFIELD,,11,,TOM OFF,RT,,WK,32,Run,,OZ G,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,151,4,11,R,,2,3,-49,3,,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,32,Run,,Q IZ,,R,,,,Rush,A,Q,,,,,,,,,,,,,
KEYSTONE,D,152,4,11,L,,1,10,48,18,,MIDFIELD,,20,,FOX,RT,,PISTOL KING,21,Run,RPO,IZ LEAD,,R,,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,153,4,11,L,,1,10,30,26,,GREEN ZONE,,20,,FOX,RT,,PISTOL QUEEN,21,Pass,RPO,IZ LEAD,,R,,HITCH,,Complete,,Z,3,3,70AF,,,,,5OC,,,,,
KEYSTONE,D,154,4,11,R,,1,4,4,0,,GOALLINE,,11,,UNBALANCED SLOT,LT,,TRUCK,30,Pass,,SOP,,L,,CORNER/SLANT,,Incomplete,,Z,5,,REACH,,,,,5LOOP,,,,,
KEYSTONE,D,155,4,11,R,,2,4,4,1,,GOALLINE,,12,,BOX UNDER,RT,,I,21,Run,,DUO,,R,,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,156,4,11,R,,3,3,3,3,TD,GOALLINE,,22,,BOX UNDER,RT,,I,21,Run,,POWER,,L,,,,Rush,D,T,,,,,,,,,,,,,
KEYSTONE,D,169,4,12,L,,1,10,-34,6,,UPFIELD,4M,11,,FOX,RT,,KING,31,Run,,OZ,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,170,4,12,R,,2,4,-40,0,,MIDFIELD,4M,11,,TOM OFF,LT,,WK,32,Run,,OZ,FOLD,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
MISERICORDIA,D,2,1,1,R,,1,10,-36,44,,UPFIELD,,11,,WOLF,RT,,STRONG,23,Pass,,PAP,IZ,L,,VERTS,COMEBACK,Complete,,Z,7,3,60TB,,,,,7LG,285,,,,
MISERICORDIA,D,4,1,1,L,,1,10,20,4,,RED ZONE,,11,,TOM OFF,RT,,WK,31,Run,,IZ,BASE,R,,,,Rush,C,T,,,,CAT,,,,,,,,,
MISERICORDIA,D,5,1,1,L,,2,6,20,2,,RED ZONE,,10,,TRIPS,RT,,STRONG,31,Run,RPO,IZ,,L,,,,Rush,A,T,,,,CAT,,,,,,,,,
MISERICORDIA,D,6,1,1,L,,3,4,20,0,,RED ZONE,,10,T OUT,TRIPS,RT,,STRONG,31,Pass,,SOP,,R,,CHAIR,,Incomplete,,J,9,0,50 MAN,CAT,,,,8LT,254,,,,
